product_id,store_id,stock_level,reorder_threshold,last_updated,product_name,category,cost_price,selling_price,store_name,city,inventory_value
101,1,200,40,2026-06-12,12 oz Paper Hot Cups Case,Foodservice Disposables,38.0,62.5,Mock Distribution Branch - Dallas,Dallas,12500.0
102,1,64,40,2026-06-12,16 oz Clear Cold Cups Case,Foodservice Disposables,42.0,68.0,Mock Distribution Branch - Dallas,Dallas,4352.0
103,1,0,40,2026-06-11,9 inch Paper Plates Case,Foodservice Disposables,24.0,39.95,Mock Distribution Branch - Dallas,Dallas,0.0
104,1,65,40,2026-06-11,Compostable Takeout Containers Case,Foodservice Disposables,48.0,79.99,Mock Distribution Branch - Dallas,Dallas,5199.349999999999
201,1,60,30,2026-06-11,55 Gallon Industrial Trash Bags Case,Janitorial Supplies,19.0,34.99,Mock Distribution Branch - Dallas,Dallas,2099.4
202,1,54,30,2026-06-11,Multi-Surface Cleaner Gallon Case,Janitorial Supplies,24.0,42.0,Mock Distribution Branch - Dallas,Dallas,2268.0
203,1,110,30,2026-06-11,Disinfectant Wipes Bucket,Janitorial Supplies,28.0,49.5,Mock Distribution Branch - Dallas,Dallas,5445.0
204,1,50,30,2026-06-11,Hardwound Paper Towels Case,Janitorial Supplies,32.0,55.0,Mock Distribution Branch - Dallas,Dallas,2750.0
301,1,4,25,2026-06-11,Nitrile Gloves Medium Case,Safety and PPE,52.0,87.5,Mock Distribution Branch - Dallas,Dallas,350.0
302,1,63,25,2026-06-11,Safety Glasses Pack,Safety and PPE,18.0,31.99,Mock Distribution Branch - Dallas,Dallas,2015.37
303,1,80,25,2026-06-11,Disposable Face Masks Case,Safety and PPE,35.0,58.0,Mock Distribution Branch - Dallas,Dallas,4640.0
304,1,105,25,2026-06-11,High Visibility Safety Vest Pack,Safety and PPE,44.0,74.0,Mock Distribution Branch - Dallas,Dallas,7770.0
401,1,95,35,2026-06-11,Bottled Water 24 Pack Case,Breakroom Supplies,4.8,8.99,Mock Distribution Branch - Dallas,Dallas,854.0500000000001
402,1,82,35,2026-06-11,Coffee Pods Box,Breakroom Supplies,21.0,38.0,Mock Distribution Branch - Dallas,Dallas,3116.0
403,1,60,20,2026-06-11,Copy Paper Case,Office Supplies,34.0,58.99,Mock Distribution Branch - Dallas,Dallas,3539.4
404,1,82,25,2026-06-11,Pallet Stretch Film Case,Packaging Supplies,52.0,88.0,Mock Distribution Branch - Dallas,Dallas,7216.0
101,2,122,40,2026-06-11,12 oz Paper Hot Cups Case,Foodservice Disposables,38.0,62.5,Mock Distribution Branch - Plano,Plano,7625.0
