product_id,store_id,stock_level,reorder_threshold,last_updated,product_name,category,cost_price,selling_price,store_name,city,inventory_value
P101,S1,55,20,2026-04-22,Milk,Dairy,40,60,Hyderabad Central,Hyderabad,3300
P101,S2,22,20,2026-04-22,Milk,Dairy,40,60,Vijayawada Branch,Vijayawada,1320
P101,S3,37,20,2026-04-27,Milk,Dairy,40,60,Guntur Branch,Guntur,2220
P102,S1,17,15,2026-04-27,Bread,Bakery,20,35,Hyderabad Central,Hyderabad,595
P102,S2,30,15,2026-04-27,Bread,Bakery,20,35,Vijayawada Branch,Vijayawada,1050
P102,S3,19,15,2026-04-27,Bread,Bakery,20,35,Guntur Branch,Guntur,665
P103,S1,220,30,2026-04-22,Rice 1kg,Grains,50,80,Hyderabad Central,Hyderabad,17600
P103,S2,90,30,2026-04-22,Rice 1kg,Grains,50,80,Vijayawada Branch,Vijayawada,7200
P103,S3,70,30,2026-04-22,Rice 1kg,Grains,50,80,Guntur Branch,Guntur,5600
P104,S1,12,10,2026-04-22,Cooking Oil 1L,Grocery,120,180,Hyderabad Central,Hyderabad,2160
P104,S2,35,10,2026-04-22,Cooking Oil 1L,Grocery,120,180,Vijayawada Branch,Vijayawada,6300
P104,S3,28,10,2026-04-22,Cooking Oil 1L,Grocery,120,180,Guntur Branch,Guntur,5040
P105,S1,150,25,2026-04-22,Eggs (12 pack),Dairy,60,90,Hyderabad Central,Hyderabad,13500
P105,S2,80,25,2026-04-22,Eggs (12 pack),Dairy,60,90,Vijayawada Branch,Vijayawada,7200
P105,S3,60,25,2026-04-22,Eggs (12 pack),Dairy,60,90,Guntur Branch,Guntur,5400
P106,S1,250,40,2026-05-15,Biscuits Pack,Snacks,10,20,Hyderabad Central,Hyderabad,5000
P106,S2,120,40,2026-04-22,Biscuits Pack,Snacks,10,20,Vijayawada Branch,Vijayawada,2400
P106,S3,100,40,2026-04-22,Biscuits Pack,Snacks,10,20,Guntur Branch,Guntur,2000
P107,S1,55,20,2026-04-27,Soft Drink 1L,Beverages,30,50,Hyderabad Central,Hyderabad,2750
P107,S2,45,20,2026-04-22,Soft Drink 1L,Beverages,30,50,Vijayawada Branch,Vijayawada,2250
P107,S3,25,20,2026-04-22,Soft Drink 1L,Beverages,30,50,Guntur Branch,Guntur,1250
P108,S1,79,20,2026-04-24,Chocolates,Snacks,20,40,Hyderabad Central,Hyderabad,3160
P108,S2,35,20,2026-04-22,Chocolates,Snacks,20,40,Vijayawada Branch,Vijayawada,1400
P108,S3,30,20,2026-04-22,Chocolates,Snacks,20,40,Guntur Branch,Guntur,1200
P109,S1,40,15,2026-04-22,Curd,Dairy,30,50,Hyderabad Central,Hyderabad,2000
P109,S2,18,15,2026-04-22,Curd,Dairy,30,50,Vijayawada Branch,Vijayawada,900
P109,S3,24,15,2026-04-27,Curd,Dairy,30,50,Guntur Branch,Guntur,1200
P110,S1,60,20,2026-04-22,Butter,Dairy,80,120,Hyderabad Central,Hyderabad,7200
P110,S2,30,20,2026-04-22,Butter,Dairy,80,120,Vijayawada Branch,Vijayawada,3600
P110,S3,10,20,2026-05-15,Butter,Dairy,80,120,Guntur Branch,Guntur,1200
P111,S1,70,20,2026-04-22,Cheese,Dairy,150,250,Hyderabad Central,Hyderabad,17500
P111,S2,22,20,2026-04-22,Cheese,Dairy,150,250,Vijayawada Branch,Vijayawada,5500
P111,S3,27,20,2026-04-27,Cheese,Dairy,150,250,Guntur Branch,Guntur,6750
P112,S1,5,10,2026-05-15,Bananas,Fruits,20,40,Hyderabad Central,Hyderabad,200
P112,S2,15,10,2026-04-22,Bananas,Fruits,20,40,Vijayawada Branch,Vijayawada,600
P112,S3,10,10,2026-04-22,Bananas,Fruits,20,40,Guntur Branch,Guntur,400
P113,S1,1,15,2026-04-28,Apples,Fruits,60,120,Hyderabad Central,Hyderabad,120
P113,S2,20,15,2026-04-22,Apples,Fruits,60,120,Vijayawada Branch,Vijayawada,2400
P113,S3,16,15,2026-04-22,Apples,Fruits,60,120,Guntur Branch,Guntur,1920
P114,S1,20,10,2026-04-22,Tomatoes,Vegetables,15,30,Hyderabad Central,Hyderabad,600
