sale_id,date,product_id,store_id,quantity_sold,selling_price,product_name,category,cost_price,store_name,city,revenue
1,2026-05-23,101,1,30,58.75,12 oz Paper Hot Cups Case,Foodservice Disposables,38.0,Mock Distribution Branch - Dallas,Dallas,1762.5
433,2026-05-23,404,5,9,82.72,Pallet Stretch Film Case,Packaging Supplies,52.0,Mock Distribution Branch - Chicago,Chicago,744.48
37,2026-05-23,201,1,23,32.89,55 Gallon Industrial Trash Bags Case,Janitorial Supplies,19.0,Mock Distribution Branch - Dallas,Dallas,756.47
55,2026-05-23,301,1,8,82.25,Nitrile Gloves Medium Case,Safety and PPE,52.0,Mock Distribution Branch - Dallas,Dallas,658.0
73,2026-05-23,404,1,7,82.72,Pallet Stretch Film Case,Packaging Supplies,52.0,Mock Distribution Branch - Dallas,Dallas,579.04
91,2026-05-23,101,2,27,58.75,12 oz Paper Hot Cups Case,Foodservice Disposables,38.0,Mock Distribution Branch - Plano,Plano,1586.25
109,2026-05-23,104,2,15,75.19,Compostable Takeout Containers Case,Foodservice Disposables,48.0,Mock Distribution Branch - Plano,Plano,1127.85
127,2026-05-23,201,2,21,32.89,55 Gallon Industrial Trash Bags Case,Janitorial Supplies,19.0,Mock Distribution Branch - Plano,Plano,690.69
145,2026-05-23,301,2,8,82.25,Nitrile Gloves Medium Case,Safety and PPE,52.0,Mock Distribution Branch - Plano,Plano,658.0
163,2026-05-23,404,2,7,82.72,Pallet Stretch Film Case,Packaging Supplies,52.0,Mock Distribution Branch - Plano,Plano,579.04
181,2026-05-23,101,3,23,62.5,12 oz Paper Hot Cups Case,Foodservice Disposables,38.0,Mock Distribution Branch - Irving,Irving,1437.5
199,2026-05-23,104,3,8,79.99,Compostable Takeout Containers Case,Foodservice Disposables,48.0,Mock Distribution Branch - Irving,Irving,639.92
217,2026-05-23,201,3,17,34.99,55 Gallon Industrial Trash Bags Case,Janitorial Supplies,19.0,Mock Distribution Branch - Irving,Irving,594.83
235,2026-05-23,301,3,6,87.5,Nitrile Gloves Medium Case,Safety and PPE,52.0,Mock Distribution Branch - Irving,Irving,525.0
253,2026-05-23,404,3,3,88.0,Pallet Stretch Film Case,Packaging Supplies,52.0,Mock Distribution Branch - Irving,Irving,264.0
271,2026-05-23,101,4,15,62.5,12 oz Paper Hot Cups Case,Foodservice Disposables,38.0,Mock Distribution Branch - Eden Prairie,Eden Prairie,937.5
289,2026-05-23,104,4,6,79.99,Compostable Takeout Containers Case,Foodservice Disposables,48.0,Mock Distribution Branch - Eden Prairie,Eden Prairie,479.93999999999994
307,2026-05-23,201,4,12,34.99,55 Gallon Industrial Trash Bags Case,Janitorial Supplies,19.0,Mock Distribution Branch - Eden Prairie,Eden Prairie,419.88
325,2026-05-23,301,4,3,87.5,Nitrile Gloves Medium Case,Safety and PPE,52.0,Mock Distribution Branch - Eden Prairie,Eden Prairie,262.5
343,2026-05-23,404,4,9,88.0,Pallet Stretch Film Case,Packaging Supplies,52.0,Mock Distribution Branch - Eden Prairie,Eden Prairie,792.0
361,2026-05-23,101,5,29,58.75,12 oz Paper Hot Cups Case,Foodservice Disposables,38.0,Mock Distribution Branch - Chicago,Chicago,1703.75
379,2026-05-23,104,5,17,75.19,Compostable Takeout Containers Case,Foodservice Disposables,48.0,Mock Distribution Branch - Chicago,Chicago,1278.23
397,2026-05-23,201,5,16,32.89,55 Gallon Industrial Trash Bags Case,Janitorial Supplies,19.0,Mock Distribution Branch - Chicago,Chicago,526.24
415,2026-05-23,301,5,6,82.25,Nitrile Gloves Medium Case,Safety and PPE,52.0,Mock Distribution Branch - Chicago,Chicago,493.5
19,2026-05-23,104,1,15,75.19,Compostable Takeout Containers Case,Foodservice Disposables,48.0,Mock Distribution Branch - Dallas,Dallas,1127.85
2,2026-05-24,101,1,31,58.75,12 oz Paper Hot Cups Case,Foodservice Disposables,38.0,Mock Distribution Branch - Dallas,Dallas,1821.25
434,2026-05-24,404,5,10,82.72,Pallet Stretch Film Case,Packaging Supplies,52.0,Mock Distribution Branch - Chicago,Chicago,827.2
38,2026-05-24,201,1,22,32.89,55 Gallon Industrial Trash Bags Case,Janitorial Supplies,19.0,Mock Distribution Branch - Dallas,Dallas,723.58
56,2026-05-24,301,1,14,82.25,Nitrile Gloves Medium Case,Safety and PPE,52.0,Mock Distribution Branch - Dallas,Dallas,1151.5
74,2026-05-24,404,1,12,82.72,Pallet Stretch Film Case,Packaging Supplies,52.0,Mock Distribution Branch - Dallas,Dallas,992.64
92,2026-05-24,101,2,26,58.75,12 oz Paper Hot Cups Case,Foodservice Disposables,38.0,Mock Distribution Branch - Plano,Plano,1527.5
110,2026-05-24,104,2,13,75.19,Compostable Takeout Containers Case,Foodservice Disposables,48.0,Mock Distribution Branch - Plano,Plano,977.47
128,2026-05-24,201,2,16,32.89,55 Gallon Industrial Trash Bags Case,Janitorial Supplies,19.0,Mock Distribution Branch - Plano,Plano,526.24
146,2026-05-24,301,2,8,82.25,Nitrile Gloves Medium Case,Safety and PPE,52.0,Mock Distribution Branch - Plano,Plano,658.0
164,2026-05-24,404,2,11,82.72,Pallet Stretch Film Case,Packaging Supplies,52.0,Mock Distribution Branch - Plano,Plano,909.92
182,2026-05-24,101,3,20,62.5,12 oz Paper Hot Cups Case,Foodservice Disposables,38.0,Mock Distribution Branch - Irving,Irving,1250.0
200,2026-05-24,104,3,13,79.99,Compostable Takeout Containers Case,Foodservice Disposables,48.0,Mock Distribution Branch - Irving,Irving,1039.87
218,2026-05-24,201,3,13,34.99,55 Gallon Industrial Trash Bags Case,Janitorial Supplies,19.0,Mock Distribution Branch - Irving,Irving,454.87
236,2026-05-24,301,3,8,87.5,Nitrile Gloves Medium Case,Safety and PPE,52.0,Mock Distribution Branch - Irving,Irving,700.0
254,2026-05-24,404,3,2,88.0,Pallet Stretch Film Case,Packaging Supplies,52.0,Mock Distribution Branch - Irving,Irving,176.0
272,2026-05-24,101,4,19,62.5,12 oz Paper Hot Cups Case,Foodservice Disposables,38.0,Mock Distribution Branch - Eden Prairie,Eden Prairie,1187.5
290,2026-05-24,104,4,6,79.99,Compostable Takeout Containers Case,Foodservice Disposables,48.0,Mock Distribution Branch - Eden Prairie,Eden Prairie,479.93999999999994
308,2026-05-24,201,4,17,34.99,55 Gallon Industrial Trash Bags Case,Janitorial Supplies,19.0,Mock Distribution Branch - Eden Prairie,Eden Prairie,594.83
326,2026-05-24,301,4,9,87.5,Nitrile Gloves Medium Case,Safety and PPE,52.0,Mock Distribution Branch - Eden Prairie,Eden Prairie,787.5
344,2026-05-24,404,4,2,88.0,Pallet Stretch Film Case,Packaging Supplies,52.0,Mock Distribution Branch - Eden Prairie,Eden Prairie,176.0
362,2026-05-24,101,5,27,58.75,12 oz Paper Hot Cups Case,Foodservice Disposables,38.0,Mock Distribution Branch - Chicago,Chicago,1586.25
380,2026-05-24,104,5,10,75.19,Compostable Takeout Containers Case,Foodservice Disposables,48.0,Mock Distribution Branch - Chicago,Chicago,751.9
398,2026-05-24,201,5,16,32.89,55 Gallon Industrial Trash Bags Case,Janitorial Supplies,19.0,Mock Distribution Branch - Chicago,Chicago,526.24
416,2026-05-24,301,5,8,82.25,Nitrile Gloves Medium Case,Safety and PPE,52.0,Mock Distribution Branch - Chicago,Chicago,658.0
20,2026-05-24,104,1,12,75.19,Compostable Takeout Containers Case,Foodservice Disposables,48.0,Mock Distribution Branch - Dallas,Dallas,902.28
3,2026-05-25,101,1,33,58.75,12 oz Paper Hot Cups Case,Foodservice Disposables,38.0,Mock Distribution Branch - Dallas,Dallas,1938.75
435,2026-05-25,404,5,12,82.72,Pallet Stretch Film Case,Packaging Supplies,52.0,Mock Distribution Branch - Chicago,Chicago,992.64
